model,interval_start_datetime,predicted_call_volume
gradient_boosting,2026-01-03T13:00:00,261.8923
gradient_boosting,2026-01-03T13:30:00,234.7528
gradient_boosting,2026-01-03T14:00:00,245.1569
gradient_boosting,2026-01-03T14:30:00,269.9564
gradient_boosting,2026-01-03T15:00:00,220.8887
gradient_boosting,2026-01-03T15:30:00,243.1660
gradient_boosting,2026-01-03T16:00:00,234.2137
gradient_boosting,2026-01-03T16:30:00,231.4090
gradient_boosting,2026-01-03T17:00:00,227.9822
gradient_boosting,2026-01-03T17:30:00,235.4752
gradient_boosting,2026-01-03T18:00:00,215.8166
gradient_boosting,2026-01-03T18:30:00,213.0797
gradient_boosting,2026-01-03T19:00:00,222.5779
gradient_boosting,2026-01-03T19:30:00,226.6108
gradient_boosting,2026-01-03T20:00:00,228.6991
gradient_boosting,2026-01-03T20:30:00,224.1273
gradient_boosting,2026-01-03T21:00:00,227.7280
gradient_boosting,2026-01-03T21:30:00,228.6991
gradient_boosting,2026-01-03T22:00:00,227.7280
gradient_boosting,2026-01-03T22:30:00,227.7280
gradient_boosting,2026-01-03T23:00:00,225.6365
gradient_boosting,2026-01-03T23:30:00,236.0436
gradient_boosting,2026-01-04T00:00:00,212.4533
gradient_boosting,2026-01-04T00:30:00,157.1906
gradient_boosting,2026-01-04T01:00:00,184.5154
gradient_boosting,2026-01-04T01:30:00,142.7859
gradient_boosting,2026-01-04T02:00:00,126.2185
gradient_boosting,2026-01-04T02:30:00,99.2150
gradient_boosting,2026-01-04T03:00:00,103.0539
gradient_boosting,2026-01-04T03:30:00,81.2202
gradient_boosting,2026-01-04T04:00:00,85.4718
gradient_boosting,2026-01-04T04:30:00,85.4718
gradient_boosting,2026-01-04T05:00:00,76.7298
gradient_boosting,2026-01-04T05:30:00,78.8959
gradient_boosting,2026-01-04T06:00:00,89.9308
gradient_boosting,2026-01-04T06:30:00,114.0493
gradient_boosting,2026-01-04T07:00:00,170.9365
gradient_boosting,2026-01-04T07:30:00,201.7811
gradient_boosting,2026-01-04T08:00:00,208.4437
gradient_boosting,2026-01-04T08:30:00,238.7097
gradient_boosting,2026-01-04T09:00:00,258.4824
gradient_boosting,2026-01-04T09:30:00,277.7898
gradient_boosting,2026-01-04T10:00:00,257.9694
gradient_boosting,2026-01-04T10:30:00,277.7898
gradient_boosting,2026-01-04T11:00:00,273.6175
gradient_boosting,2026-01-04T11:30:00,250.0397
gradient_boosting,2026-01-04T12:00:00,274.5013
gradient_boosting,2026-01-04T12:30:00,289.8049
gradient_boosting,2026-01-04T13:00:00,274.5013
gradient_boosting,2026-01-04T13:30:00,276.5394
gradient_boosting,2026-01-04T14:00:00,276.5394
gradient_boosting,2026-01-04T14:30:00,256.7191
gradient_boosting,2026-01-04T15:00:00,291.7563
gradient_boosting,2026-01-04T15:30:00,246.6630
gradient_boosting,2026-01-04T16:00:00,251.8993
gradient_boosting,2026-01-04T16:30:00,235.2033
gradient_boosting,2026-01-04T17:00:00,240.8556
gradient_boosting,2026-01-04T17:30:00,234.4910
gradient_boosting,2026-01-04T18:00:00,244.5498
gradient_boosting,2026-01-04T18:30:00,222.7715
gradient_boosting,2026-01-04T19:00:00,221.0309
gradient_boosting,2026-01-04T19:30:00,213.2732
gradient_boosting,2026-01-04T20:00:00,217.7644
gradient_boosting,2026-01-04T20:30:00,222.7715
gradient_boosting,2026-01-04T21:00:00,228.8927
gradient_boosting,2026-01-04T21:30:00,213.2732
gradient_boosting,2026-01-04T22:00:00,230.4443
gradient_boosting,2026-01-04T22:30:00,225.8301
gradient_boosting,2026-01-04T23:00:00,202.7245
gradient_boosting,2026-01-04T23:30:00,188.2287
gradient_boosting,2026-01-05T00:00:00,183.2160
gradient_boosting,2026-01-05T00:30:00,141.9188
gradient_boosting,2026-01-05T01:00:00,131.7947
gradient_boosting,2026-01-05T01:30:00,99.6812
gradient_boosting,2026-01-05T02:00:00,93.2109
gradient_boosting,2026-01-05T02:30:00,78.6815
gradient_boosting,2026-01-05T03:00:00,75.9754
gradient_boosting,2026-01-05T03:30:00,74.1912
gradient_boosting,2026-01-05T04:00:00,85.8090
gradient_boosting,2026-01-05T04:30:00,89.4112
gradient_boosting,2026-01-05T05:00:00,80.3421
gradient_boosting,2026-01-05T05:30:00,77.8914
gradient_boosting,2026-01-05T06:00:00,94.4600
gradient_boosting,2026-01-05T06:30:00,110.1524
gradient_boosting,2026-01-05T07:00:00,172.9239
gradient_boosting,2026-01-05T07:30:00,205.1518
gradient_boosting,2026-01-05T08:00:00,234.9646
gradient_boosting,2026-01-05T08:30:00,271.4854
gradient_boosting,2026-01-05T09:00:00,299.1144
gradient_boosting,2026-01-05T09:30:00,322.6183
gradient_boosting,2026-01-05T10:00:00,317.6555
gradient_boosting,2026-01-05T10:30:00,322.6183
gradient_boosting,2026-01-05T11:00:00,322.6183
gradient_boosting,2026-01-05T11:30:00,318.7783
gradient_boosting,2026-01-05T12:00:00,308.4418
gradient_boosting,2026-01-05T12:30:00,301.1016
gradient_boosting,2026-01-05T13:00:00,311.0964
gradient_boosting,2026-01-05T13:30:00,319.7445
gradient_boosting,2026-01-05T14:00:00,311.0964
gradient_boosting,2026-01-05T14:30:00,301.1016
gradient_boosting,2026-01-05T15:00:00,314.6060
gradient_boosting,2026-01-05T15:30:00,293.7831
gradient_boosting,2026-01-05T16:00:00,291.7875
gradient_boosting,2026-01-05T16:30:00,276.7769
gradient_boosting,2026-01-05T17:00:00,251.1057
gradient_boosting,2026-01-05T17:30:00,255.1258
gradient_boosting,2026-01-05T18:00:00,228.4536
gradient_boosting,2026-01-05T18:30:00,214.0539
gradient_boosting,2026-01-05T19:00:00,233.6256
gradient_boosting,2026-01-05T19:30:00,233.6256
gradient_boosting,2026-01-05T20:00:00,224.2110
gradient_boosting,2026-01-05T20:30:00,220.6103
gradient_boosting,2026-01-05T21:00:00,225.1822
gradient_boosting,2026-01-05T21:30:00,225.1822
gradient_boosting,2026-01-05T22:00:00,226.7337
gradient_boosting,2026-01-05T22:30:00,226.7337
gradient_boosting,2026-01-05T23:00:00,214.0539
gradient_boosting,2026-01-05T23:30:00,201.8144
gradient_boosting,2026-01-06T00:00:00,196.2895
gradient_boosting,2026-01-06T00:30:00,155.1139
gradient_boosting,2026-01-06T01:00:00,120.1657
gradient_boosting,2026-01-06T01:30:00,113.9004
gradient_boosting,2026-01-06T02:00:00,86.6537
gradient_boosting,2026-01-06T02:30:00,75.7264
gradient_boosting,2026-01-06T03:00:00,81.7624
gradient_boosting,2026-01-06T03:30:00,70.0642
gradient_boosting,2026-01-06T04:00:00,70.0642
gradient_boosting,2026-01-06T04:30:00,73.1484
gradient_boosting,2026-01-06T05:00:00,78.8062
gradient_boosting,2026-01-06T05:30:00,85.0200
gradient_boosting,2026-01-06T06:00:00,111.5073
gradient_boosting,2026-01-06T06:30:00,175.8494
gradient_boosting,2026-01-06T07:00:00,194.3705
gradient_boosting,2026-01-06T07:30:00,232.3010
gradient_boosting,2026-01-06T08:00:00,273.3776
gradient_boosting,2026-01-06T08:30:00,301.6162
gradient_boosting,2026-01-06T09:00:00,327.9217
gradient_boosting,2026-01-06T09:30:00,319.9431
gradient_boosting,2026-01-06T10:00:00,331.4391
gradient_boosting,2026-01-06T10:30:00,314.9804
gradient_boosting,2026-01-06T11:00:00,319.9431
gradient_boosting,2026-01-06T11:30:00,319.9431
gradient_boosting,2026-01-06T12:00:00,318.6927
gradient_boosting,2026-01-06T12:30:00,308.4213
gradient_boosting,2026-01-06T13:00:00,318.6927
gradient_boosting,2026-01-06T13:30:00,305.7667
gradient_boosting,2026-01-06T14:00:00,313.7300
gradient_boosting,2026-01-06T14:30:00,298.4264
gradient_boosting,2026-01-06T15:00:00,316.6137
gradient_boosting,2026-01-06T15:30:00,307.4328
gradient_boosting,2026-01-06T16:00:00,283.5303
gradient_boosting,2026-01-06T16:30:00,259.3683
gradient_boosting,2026-01-06T17:00:00,261.5816
gradient_boosting,2026-01-06T17:30:00,271.9265
gradient_boosting,2026-01-06T18:00:00,224.5275
gradient_boosting,2026-01-06T18:30:00,222.2271
gradient_boosting,2026-01-06T19:00:00,220.1388
gradient_boosting,2026-01-06T19:30:00,222.2271
gradient_boosting,2026-01-06T20:00:00,220.1388
gradient_boosting,2026-01-06T20:30:00,227.2176
gradient_boosting,2026-01-06T21:00:00,230.6706
gradient_boosting,2026-01-06T21:30:00,221.2560
gradient_boosting,2026-01-06T22:00:00,214.3653
gradient_boosting,2026-01-06T22:30:00,221.2560
gradient_boosting,2026-01-06T23:00:00,217.6553
gradient_boosting,2026-01-06T23:30:00,213.5077
gradient_boosting,2026-01-07T00:00:00,211.1356
gradient_boosting,2026-01-07T00:30:00,192.8906
gradient_boosting,2026-01-07T01:00:00,127.8304
gradient_boosting,2026-01-07T01:30:00,103.2132
gradient_boosting,2026-01-07T02:00:00,82.3047
gradient_boosting,2026-01-07T02:30:00,84.8009
gradient_boosting,2026-01-07T03:00:00,88.4031
gradient_boosting,2026-01-07T03:30:00,71.9546
gradient_boosting,2026-01-07T04:00:00,77.9906
gradient_boosting,2026-01-07T04:30:00,87.1047
gradient_boosting,2026-01-07T05:00:00,82.0383
gradient_boosting,2026-01-07T05:30:00,74.1207
gradient_boosting,2026-01-07T06:00:00,95.1903
gradient_boosting,2026-01-07T06:30:00,123.5560
gradient_boosting,2026-01-07T07:00:00,173.0351
gradient_boosting,2026-01-07T07:30:00,219.5651
gradient_boosting,2026-01-07T08:00:00,254.6543
gradient_boosting,2026-01-07T08:30:00,285.4969
gradient_boosting,2026-01-07T09:00:00,305.1450
gradient_boosting,2026-01-07T09:30:00,322.9483
gradient_boosting,2026-01-07T10:00:00,306.0078
gradient_boosting,2026-01-07T10:30:00,298.6675
gradient_boosting,2026-01-07T11:00:00,298.6675
gradient_boosting,2026-01-07T11:30:00,298.6675
